CustomerID,FirstName,LastName,Age,Gender,Country,OtherCustomerInfo
174,Alice,Jones,50,Female,Canada,Preferred Customer
175,Carol,Jones,20,Other,Canada,Frequent Buyer
176,John,Johnson,56,Male,Canada,Preferred Customer
177,Alice,Johnson,49,Female,Canada,New Customer
178,David,Smith,58,Female,Canada,Preferred Customer
179,David,Johnson,53,Male,Canada,Frequent Buyer
180,Alice,Smith,70,Other,Canada,New Customer
181,David,Jones,57,Female,Canada,Preferred Customer
182,John,Brown,69,Other,Canada,Preferred Customer
183,Carol,Brown,67,Male,Canada,Preferred Customer
184,Jane,Williams,40,Female,Canada,Frequent Buyer
185,Jane,Williams,19,Female,Canada,Preferred Customer
186,Bob,Williams,49,Other,Canada,Frequent Buyer
187,David,Brown,63,Other,Canada,New Customer
188,Jane,Johnson,23,Other,Canada,Frequent Buyer
189,Alice,Smith,24,Male,Canada,Preferred Customer
190,Jane,Brown,73,Other,Canada,New Customer
191,Bob,Williams,38,Female,Canada,Preferred Customer
192,Alice,Williams,50,Male,Canada,Preferred Customer
193,Alice,Johnson,33,Male,Germany,Frequent Buyer
194,Carol,Williams,20,Male,Canada,Preferred Customer
195,David,Williams,43,Female,France,Frequent Buyer
196,John,Smith,42,Other,United Kingdom,New Customer
197,John,Johnson,32,Male,United Kingdom,New Customer
198,John,Jones,39,Male,Canada,New Customer
199,Bob,Jones,60,Female,Australia,Preferred Customer
200,Jane,Williams,54,Female,United Kingdom,Frequent Buyer
